2,0,1000,1,GDOP, 1224460800.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
11000,4063498.8317,-255279.0656,4893129.7396,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009447930,-0.06274002667,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063498.8317,-255279.0656,4893129.7396,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.88009447930,-0.06274002667,50.0000,2.123
12000,4063493.8353,-255271.6667,4893134.2444,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009558875,-0.06273828995,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063493.8353,-255271.6667,4893134.2444,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.88009558875,-0.06273828995,50.0000,2.122
13000,4063488.8390,-255264.2679,4893138.7492,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009669820,-0.06273655323,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063488.8390,-255264.2679,4893138.7492,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.88009669820,-0.06273655323,50.0000,2.122
14000,4063483.8427,-255256.8690,4893143.2541,-4.9964,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009780766,-0.06273481651,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063483.8427,-255256.8690,4893143.2541,-4.9964,7.3989,4.5048,0.000,0.000,0.000,0.88009780766,-0.06273481651,50.0000,2.122
15000,4063478.8463,-255249.4701,4893147.7589,-4.9964,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009891711,-0.06273307978,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063478.8463,-255249.4701,4893147.7589,-4.9964,7.3989,4.5048,0.000,0.000,0.000,0.88009891711,-0.06273307978,50.0000,2.122
16000,4063473.8499,-255242.0713,4893152.2637,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010002656,-0.06273134305,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063473.8499,-255242.0713,4893152.2637,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.88010002656,-0.06273134305,50.0000,2.122
17000,4063468.8535,-255234.6724,4893156.7685,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010113601,-0.06272960632,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063468.8535,-255234.6724,4893156.7685,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.88010113601,-0.06272960632,50.0000,2.122
18000,4063463.8571,-255227.2736,4893161.2732,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010224547,-0.06272786959,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063463.8571,-255227.2736,4893161.2732,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.88010224547,-0.06272786959,50.0000,2.120
19000,4063458.8607,-255219.8748,4893165.7780,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010335492,-0.06272613285,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063458.8607,-255219.8748,4893165.7780,-4.9964,7.3988,4.5048,0.000,0.000,0.000,0.88010335492,-0.06272613285,50.0000,2.120
20000,4063453.8642,-255212.4760,4893170.2828,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010446437,-0.06272439611,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063453.8642,-255212.4760,4893170.2828,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.88010446437,-0.06272439611,50.0000,2.120
21000,4063448.8677,-255205.0772,4893174.7876,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010557382,-0.06272265937,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063448.8677,-255205.0772,4893174.7876,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.88010557382,-0.06272265937,50.0000,2.120
22000,4063443.8713,-255197.6784,4893179.2923,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010668328,-0.06272092263,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063443.8713,-255197.6784,4893179.2923,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.88010668328,-0.06272092263,50.0000,2.120
23000,4063438.8747,-255190.2796,4893183.7971,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88010779273,-0.06271918588,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063438.8747,-255190.2796,4893183.7971,-4.9965,7.3988,4.5048,0.000,0.000,0.000,0.88010779273,-0.06271918588,50.0000,2.120
24000,4063433.8782,-255182.8808,4893188.3018,-4.9965,7.3988,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88010890218,-0.06271744913,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063433.8782,-255182.8808,4893188.3018,-4.9965,7.3988,4.5047,0.000,0.000,0.000,0.88010890218,-0.06271744913,50.0000,2.119
25000,4063428.8817,-255175.4820,4893192.8066,-4.9966,7.3988,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011001163,-0.06271571238,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063428.8817,-255175.4820,4893192.8066,-4.9966,7.3988,4.5047,0.000,0.000,0.000,0.88011001163,-0.06271571238,50.0000,2.119
26000,4063423.8851,-255168.0833,4893197.3113,-4.9966,7.3988,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011112109,-0.06271397563,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063423.8851,-255168.0833,4893197.3113,-4.9966,7.3988,4.5047,0.000,0.000,0.000,0.88011112109,-0.06271397563,50.0000,2.119
27000,4063418.8885,-255160.6845,4893201.8160,-4.9966,7.3988,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011223054,-0.06271223888,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063418.8885,-255160.6845,4893201.8160,-4.9966,7.3988,4.5047,0.000,0.000,0.000,0.88011223054,-0.06271223888,50.0000,2.119
28000,4063413.8919,-255153.2857,4893206.3208,-4.9966,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011333999,-0.06271050212,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063413.8919,-255153.2857,4893206.3208,-4.9966,7.3987,4.5047,0.000,0.000,0.000,0.88011333999,-0.06271050212,50.0000,2.119
29000,4063408.8953,-255145.8870,4893210.8255,-4.9966,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011444944,-0.06270876536,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063408.8953,-255145.8870,4893210.8255,-4.9966,7.3987,4.5047,0.000,0.000,0.000,0.88011444944,-0.06270876536,50.0000,2.119
30000,4063403.8987,-255138.4883,4893215.3302,-4.9966,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011555890,-0.06270702860,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063403.8987,-255138.4883,4893215.3302,-4.9966,7.3987,4.5047,0.000,0.000,0.000,0.88011555890,-0.06270702860,50.0000,2.118
31000,4063398.9020,-255131.0896,4893219.8349,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011666835,-0.06270529183,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063398.9020,-255131.0896,4893219.8349,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.88011666835,-0.06270529183,50.0000,2.118
32000,4063393.9054,-255123.6908,4893224.3396,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011777780,-0.06270355507,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063393.9054,-255123.6908,4893224.3396,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.88011777780,-0.06270355507,50.0000,2.118
33000,4063388.9087,-255116.2921,4893228.8443,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011888725,-0.06270181830,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063388.9087,-255116.2921,4893228.8443,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.88011888725,-0.06270181830,50.0000,2.118
34000,4063383.9120,-255108.8934,4893233.3490,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88011999670,-0.06270008153,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063383.9120,-255108.8934,4893233.3490,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.88011999670,-0.06270008153,50.0000,2.118
35000,4063378.9153,-255101.4947,4893237.8537,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88012110616,-0.06269834476,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063378.9153,-255101.4947,4893237.8537,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.88012110616,-0.06269834476,50.0000,2.118
36000,4063373.9185,-255094.0961,4893242.3583,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88012221561,-0.06269660798,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063373.9185,-255094.0961,4893242.3583,-4.9967,7.3987,4.5047,0.000,0.000,0.000,0.88012221561,-0.06269660798,50.0000,2.117
37000,4063368.9218,-255086.6974,4893246.8630,-4.9968,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88012332506,-0.06269487120,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063368.9218,-255086.6974,4893246.8630,-4.9968,7.3987,4.5047,0.000,0.000,0.000,0.88012332506,-0.06269487120,50.0000,2.117
38000,4063363.9250,-255079.2987,4893251.3677,-4.9968,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88012443451,-0.06269313442,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063363.9250,-255079.2987,4893251.3677,-4.9968,7.3987,4.5047,0.000,0.000,0.000,0.88012443451,-0.06269313442,50.0000,2.117
39000,4063358.9282,-255071.9001,4893255.8723,-4.9968,7.3987,4.5047,0.000,0.000,0.000,0.000,0.000,0.000,0.88012554397,-0.06269139764,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063358.9282,-255071.9001,4893255.8723,-4.9968,7.3987,4.5047,0.000,0.000,0.000,0.88012554397,-0.06269139764,50.0000,2.117
